epoch,best_score_thr,best_area_thr,best_metric,valid_loss
0,0.5,500,0.9256001984750902,0.9129829092605694
1,0.3,500,0.9543662232321659,0.9543662232321659
2,0.2,500,0.9575259282782272,0.9565095120185132
3,0.5,500,0.9588555363384452,0.9552894669610099
4,0.4,500,0.9625909441226238,0.9621385722546963
5,0.4,500,0.9649631211886536,0.9644701231170344
6,0.5,500,0.9655934290305987,0.9645909811999348
7,0.2,500,0.9647915226382178,0.9647258842313612
8,0.5,500,0.9638770399866876,0.9615231720176904
9,0.4,500,0.9641357676402944,0.9637012014517912
10,0.5,500,0.9655756241566426,0.9644259866830464
11,0.5,500,0.9655709580795184,0.9650524451925948
12,0.5,500,0.964769734724148,0.9634143919558138
13,0.5,500,0.965525783397056,0.9640960048984837
