epoch,best_score_thr,best_area_thr,best_metric,valid_loss
0,0.5,500,0.9601288703647819,0.9589494313742664
1,0.5,500,0.9636791058488794,0.962297731960142
2,0.3,500,0.9659799820667988,0.9659799820667988
3,0.5,500,0.9642036283338392,0.9634722680658908
4,0.4,500,0.9649046425883836,0.9643411128907592
5,0.4,500,0.9657029718966096,0.9654666886136338
6,0.5,500,0.9669594643889248,0.9663124326113108
7,0.3,500,0.9654159529789074,0.9654159529789074
8,0.5,500,0.9643583805174442,0.9638560962032628
9,0.4,500,0.9660604821669088,0.9659831805809124
10,0.5,500,0.9650804013819309,0.9629555376800332
11,0.5,500,0.9659770702993548,0.9652087583735184
12,0.4,500,0.9657985044492258,0.9655105197751844
13,0.5,500,0.9659562964697141,0.9656819773686899
